Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nivel Educativo;Desempleada/o e inscrita/o como demandante de empleo en una ofic;Servicio demandado
abr-20;Hombre;Hortaleza;Entre 56 y 65 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;PuenteVallecas;Entre 46 y 55 años;Graduado Escolar;Si;Orientacion
abr-20;Hombre;MoncloaAravaca;Entre 26 y 35 años;FP Grado Superior;No;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Chamartin;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Carabanchel;Menor de 25 años;ESO;Si;Intermediacion
abr-20;Mujer;Carabanchel;Entre 26 y 35 años;FP Grado Medio;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Hombre;PuenteVallecas;Entre 26 y 35 años;ESO;Si;Intermediacion
abr-20;Hombre;Chamartin;Entre 46 y 55 años;Acceso a Mayores de 25 y/o 45 años;Si;Orientacion,Intermediacion
abr-20;Mujer;Fuencarral;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);No;Autoempleo
abr-20;Hombre;SanBlasCanillejas;Entre 46 y 55 años;FP Grado Medio;No;Orientacion
abr-20;Hombre;VillaVallecas;Menor de 25 años;Bachillerato;Si;Orientacion
abr-20;Mujer;Retiro;Entre 26 y 35 años;ESO;Si;Autoempleo
abr-20;Hombre;VillaVallecas;Entre 36 y 45 años;Bachillerato;No;Orientacion
abr-20;Mujer;;Entre 36 y 45 años;FP Grado Superior;Si;Orientacion
abr-20;Mujer;PuenteVallecas;Menor de 25 años;Sin Estudios;No;Orientacion
abr-20;Mujer;Carabanchel;Entre 36 y 45 años;ESO;Si;Intermediacion
abr-20;Mujer;PuenteVallecas;Entre 26 y 35 años;Bachillerato;Si;Intermediacion
abr-20;Mujer;;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Tetuan;Entre 36 y 45 años;FP Grado Superior;Si;Orientacion
abr-20;Hombre;PuenteVallecas;Entre 36 y 45 años;Graduado Escolar;Si;Intermediacion
abr-20;Mujer;Latina;Entre 56 y 65 años;FP Grado Medio;Si;Intermediacion
abr-20;Hombre;SanBlasCanillejas;Menor de 25 años;Bachillerato;Si;Orientacion
abr-20;Mujer;Retiro;Entre 36 y 45 años;Bachillerato;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Arganzuela;Entre 26 y 35 años;Estudios Postgrado;Si;Orientacion,Intermediacion
abr-20;Mujer;MoncloaAravaca;Entre 36 y 45 años;FP Grado Medio;Si;Autoempleo
abr-20;Mujer;MoncloaAravaca;Entre 36 y 45 años;FP Grado Medio;Si;Autoempleo
abr-20;Mujer;Vicalvaro;Entre 36 y 45 años;Estudios Postgrado;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;MoncloaAravaca;Menor de 25 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion
abr-20;Mujer;Usera;Entre 26 y 35 años;FP Grado Medio;Si;Orientacion,Intermediacion
abr-20;Mujer;;Entre 26 y 35 años;Bachillerato;No;Orientacion
abr-20;Mujer;SanBlasCanillejas;Entre 36 y 45 años;FP Grado Superior;Si;Intermediacion
abr-20;Mujer;PuenteVallecas;Entre 26 y 35 años;Bachillerato;Si;Autoempleo
abr-20;Mujer;PuenteVallecas;Menor de 25 años;ESO;No;Orientacion
abr-20;Mujer;Chamberi;Entre 36 y 45 años;Acceso a Mayores de 25 y/o 45 años;Si;Orientacion
abr-20;Mujer;Centro;Entre 36 y 45 años;Estudios Postgrado;Si;Intermediacion
abr-20;Hombre;Centro;Entre 46 y 55 años;BUP;Si;Orientacion
abr-20;Hombre;CiudadLineal;Entre 56 y 65 años;FP Grado Superior;No;Orientacion
abr-20;Hombre;;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion
abr-20;Mujer;Latina;Menor de 25 años;Sin Estudios;No;Orientacion
abr-20;Mujer;Latina;Menor de 25 años;ESO;No;Orientacion
abr-20;Mujer;Usera;Entre 46 y 55 años;Sin Estudios;Si;Intermediacion
abr-20;Hombre;CiudadLineal;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion
abr-20;Mujer;Carabanchel;Entre 36 y 45 años;Bachillerato;Si;Orientacion
abr-20;Mujer;Arganzuela;Entre 56 y 65 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion
abr-20;Mujer;Centro;Entre 36 y 45 años;Acceso a Mayores de 25 y/o 45 años;No;Intermediacion,Autoempleo
abr-20;Mujer;Usera;Menor de 25 años;ESO;No;Intermediacion
abr-20;Mujer;VillaVallecas;Menor de 25 años;FP Grado Superior;Si;Orientacion
abr-20;Hombre;;Entre 36 y 45 años;Graduado Escolar;No;Intermediacion
abr-20;Mujer;Salamanca;Menor de 25 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion
abr-20;Mujer;Latina;Entre 46 y 55 años;FP Grado Medio;Si;Intermediacion
abr-20;Hombre;VillaVallecas;Entre 26 y 35 años;Estudios Postgrado;Si;Orientacion
abr-20;Mujer;Latina;Entre 46 y 55 años;FP Grado Medio;Si;Autoempleo
abr-20;Hombre;CiudadLineal;Entre 46 y 55 años;COU;Si;Intermediacion
abr-20;Mujer;;Entre 26 y 35 años;FP Grado Superior;Si;Orientacion
abr-20;Hombre;CiudadLineal;Entre 26 y 35 años;FP Grado Superior;No;Intermediacion
abr-20;Mujer;Centro;Entre 26 y 35 años;Estudios Postgrado;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Hortaleza;Entre 46 y 55 años;FP Grado Medio;Si;Orientacion,Intermediacion
abr-20;Hombre;CiudadLineal;Entre 56 y 65 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion
abr-20;Hombre;PuenteVallecas;Entre 26 y 35 años;FP Grado Superior;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Carabanchel;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion
abr-20;Mujer;Latina;Entre 26 y 35 años;Bachillerato;No;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Carabanchel;Menor de 25 años;Bachillerato;Si;Intermediacion
abr-20;Hombre;Moratalaz;Menor de 25 años;Graduado Escolar;Si;Intermediacion
abr-20;Mujer;Arganzuela;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Latina;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);No;Intermediacion
abr-20;Mujer;Retiro;Entre 56 y 65 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion
abr-20;Hombre;Villaverde;Entre 46 y 55 años;FP Grado Medio;No;Orientacion
abr-20;Mujer;;Entre 26 y 35 años;Bachillerato;No;Intermediacion
abr-20;Mujer;;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion,Intermediacion,Autoempleo
abr-20;Hombre;Vicalvaro;Entre 36 y 45 años;Acceso a Mayores de 25 y/o 45 años;Si;Autoempleo
abr-20;Mujer;Arganzuela;Entre 36 y 45 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion,Intermediacion
abr-20;Hombre;PuenteVallecas;Entre 36 y 45 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion
abr-20;Hombre;CiudadLineal;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion
abr-20;Mujer;Villaverde;Entre 46 y 55 años;Bachillerato;Si;Orientacion
abr-20;Mujer;Centro;Entre 36 y 45 años;FP Grado Medio;No;Orientacion,Intermediacion,Autoempleo
abr-20;Hombre;Carabanchel;Entre 26 y 35 años;FP Grado Superior;No;Intermediacion
abr-20;Hombre;Centro;Entre 26 y 35 años;Graduado Escolar;No;Orientacion
